Ticker,Sector,SubIndustry,Price,PE_Rank,PS_Rank,EPS_Growth,Rev_Growth,ROE,Op_Margin,Mom_Range,Mom_3M,Mom_12M,Rev_Change,Rec_BuyRatio,Streak_Days,Value_S,Growth_S,Prof_S,Mom_S,Rev_S,Fundamental_Score,Consensus_Score,Streak_Score,Sentiment_Score,Alpha_Score,Min_Fund_Factor
DY,Industrials,Construction & Engineering,338.81,32.9695,1.8965,34.5,13.19,22.21,8.31,0.8816729003740226,,89.2793,0.0032679738562091387,0.9444444444444444,2,46.358543417366946,80.43375644270274,55.60224089635854,64.95530269524079,58.68347338935575,61.20666336820496,99.71988795518207,2.666666666666667,60.898599439775914,61.11424418967624,46.358543417366946
ENVA,Financials,Consumer Finance,161.6,15.4918,2.6102,47.49,20.81,23.919999999999998,40.59,0.9206927066414257,,64.5789,0.0,0.8571428571428571,2,39.18876262626262,77.35608258129209,83.36854118104118,64.73891837153259,47.414340101522846,62.41332897233026,94.79166666666666,2.666666666666667,57.94166666666666,61.071830280631175,39.18876262626262
MHO,Consumer Discretionary,Homebuilding,139.34,7.7122,0.8141,34.51,4.77,15.52,13.31,0.6664395229982967,,8.9615,0.0,0.8571428571428571,2,77.80150498271304,79.09059620469017,56.37226610380972,52.37724606852124,51.901565995525736,63.50863587105199,90.46166361602603,2.666666666666667,55.34366483628229,61.05914456062108,51.901565995525736
ADMA,Health Care,Biotechnology,17.95,20.3969,8.7442,,27.62,53.98,33.25,0.3656532456861133,,-3.2866,0.0888888888888888,0.8888888888888888,2,43.41658957755165,63.714153561517115,84.59759481961147,33.351834720937404,97.5331483194573,64.522664199815,85.95436324390997,2.666666666666667,52.63928461301265,60.95765032377429,33.351834720937404
TNL,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",74.96,11.7319,1.2155,1.16,3.6,121.75,19.71,0.9674817898022893,,46.9804,0.012499999999999956,0.8125,2,73.97890699904124,31.71419316306801,82.80453991863388,73.53009769117152,58.52348993288591,64.11024554096011,87.17162032598273,2.666666666666667,53.36963886225631,60.88806353734897,31.71419316306801
DVN,Energy,Oil & Gas Exploration & Production,35.76,8.2502,1.284,,11.4,18.29,23.41,0.759815242494226,,1.7354,0.08571428571428574,0.7714285714285715,2,73.83592017738358,53.93569844789357,74.27937915742794,67.40576496674058,97.33924611973393,73.35920177383593,50.99778270509978,2.666666666666667,31.665336289726532,60.85104212860311,53.93569844789357
BANC,Financials,Regional Banks,20.07,14.9628,1.98464,9.89,26.60258,5.99,39.88023,0.933406113537118,,29.1506,0.11764705882352944,0.8823529411764706,2,62.278700988378404,50.757691511881454,40.22725184015506,66.8054025900332,88.34142573383359,61.68209453285634,96.01390246551536,2.666666666666667,58.67500814597588,60.7799686167922,40.22725184015506
WTFC,Financials,Regional Banks,145.9,12.61,2.29791,11.71,79.30369,11.55,38.85791,0.9359484964679479,,13.7533,0.0,0.85,2,66.1018790051048,83.04302153464164,65.57280831474381,62.81349566172399,39.31803133966012,63.369847171174875,89.33420223742804,2.666666666666667,54.66718800912349,60.75904942255946,39.31803133966012
TMO,Health Care,Life Sciences Tools & Services,618.86,35.4113,5.3162,12.52,3.22,13.100000000000001,17.16,0.9619981864644299,,13.5669,0.08088235294117652,0.875,2,46.127717391304344,49.445965674570125,58.559782608695656,71.07789855072464,88.54166666666666,62.75060617839229,90.71557971014492,2.666666666666667,55.49601449275362,60.574228672700684,46.127717391304344
MTDR,Energy,Oil & Gas Exploration & Production,42.25,6.7209,1.3749,56.93,13.29,14.71,35.19,0.24467163403223016,,-29.6771,0.003968253968254065,0.8928571428571429,2,73.8359201773836,74.4838630204484,81.81818181818183,35.74279379157428,48.33702882483371,62.84355752648437,89.80044345898004,2.666666666666667,54.94693274205469,60.474570091155464,35.74279379157428
UGI,Utilities,Gas Utilities,37.07,11.7447,3.4986,4.08,0.22,14.09,48.2,0.785349233390119,,30.1158,0.0,0.8571428571428571,2,61.12852664576802,37.15629198387819,92.6332288401254,72.60188087774294,46.865203761755495,62.07702642185401,92.47648902821317,2.666666666666667,56.55256008359457,60.419686520376175,37.15629198387819
NUE,Materials,Steel,163.77,22.6736,1.1756,15.36,1.66,8.110000000000001,7.89,0.8901143241425691,,38.5767,0.04761904761904767,0.8095238095238095,2,54.61087420042644,71.57374617595255,51.81236673773987,58.71002132196162,78.03030303030303,62.9474622932767,88.272921108742,2.666666666666667,54.030419331911865,60.27234940486724,51.81236673773987
BKH,Utilities,Multi-Utilities,70.72,18.7411,2.3332,3.57,6.88,7.829999999999999,23.15,0.8272251308900525,,25.8139,0.125,0.75,2,67.92207792207792,50.20244461420932,38.311688311688314,74.54545454545455,94.02597402597401,65.00152788388081,80.25974025974025,2.666666666666667,49.22251082251082,60.26782276546981,38.311688311688314
DXPE,Industrials,Trading Companies & Distributors,114.12,20.5209,0.913,15.98,12.76,19.12,8.65,0.73376520777374,,34.6549,0.031746031746031744,0.8888888888888888,2,73.6331569664903,67.79461812540318,51.23456790123457,50.524459296389125,67.01940035273368,62.04124052845017,91.62257495590828,2.666666666666667,56.04021164021164,60.24093186197861,50.524459296389125
IPAR,Consumer Staples,Household Products,88.38,17.2255,1.9359,21.92,3.12,20.29,19.05,0.1574570059204962,,-32.8776,0.02020202020202022,0.9090909090909091,2,46.075268817204304,77.31651726319004,73.9247311827957,38.375815265291735,66.34408602150538,60.40728370999743,97.84946236559139,2.666666666666667,59.7763440860215,60.218001822804645,38.375815265291735
TMDX,Health Care,Health Care Equipment,137.07,51.0448,8.2709,,41.2,31.41,16.94,0.8125742574257425,,88.9318,0.07777777777777783,0.8,2,28.125,73.18840579710145,78.41183574879227,70.16908212560386,87.13768115942028,67.40640096618357,70.6219806763285,2.666666666666667,43.43985507246377,60.21643719806763,28.125
COLL,Health Care,Pharmaceuticals,45.54,24.6319,1.9015,,26.34,24.09,20.74,0.8096064100796179,,36.5927,0.015151515151515138,0.8333333333333334,2,62.909992372234925,67.04805491990848,68.23035850495805,63.11975591151793,63.99694889397407,65.0610221205187,79.11899313501145,2.666666666666667,48.53806254767354,60.10413424866515,62.909992372234925
V,Financials,Transaction & Payment Processing Services,349.77,33.3455,17.197,15.85,11.38,52.470000000000006,62.21,0.663573389099464,,11.8906,0.07234042553191489,0.8723404255319149,2,7.991681521093286,63.32632461055176,95.2625805566982,55.777361552219716,86.30934607345476,61.733458862803545,96.73202614379085,2.666666666666667,59.10588235294117,60.0,7.991681521093286
ANDE,Consumer Staples,Food Distributors,54.83,25.3197,0.16,43.52,2.19,5.56,0.82,0.9355345911949685,,29.8981,0.09722222222222221,0.875,2,70.12903225806451,65.83169934640523,13.67741935483871,74.28873611845584,94.83870967741936,63.75311935103673,88.25806451612904,2.666666666666667,54.021505376344095,60.0,13.67741935483871
CRS,Industrials,Industrial Machinery & Supplies & Components,328.65,39.5769,5.6591,198.87,2.4,22.68,19.41,0.903317805875083,,78.7599,0.16666666666666663,0.9166666666666666,2,18.154761904761905,71.63981086540628,77.76360544217687,63.45026527357355,97.53401360544217,65.70849141827215,99.48979591836735,2.666666666666667,60.76054421768708,60.0,18.154761904761905
RRR,Consumer Discretionary,Casinos & Gaming,62.65,34.9053,3.3236,,4.69,85.86,30.3,0.9310810810810811,,42.5808,0.08359133126934981,0.7894736842105263,2,20.536912751677843,52.67337807606265,93.38442469314953,70.11197774956165,93.73601789709174,66.08854223350868,80.58165548098435,2.666666666666667,49.41565995525728,60.0,20.536912751677843
APP,Information Technology,Application Software,647.72,77.3308,39.6515,68.68,40.81,262.94,59.92,0.8204215662893728,,96.7558,0.018181818181818188,0.8181818181818182,2,14.719848053181384,94.99217247002765,99.76258309591643,75.29840046179916,58.1242532855436,68.57945147329363,79.01234567901234,2.666666666666667,48.474074074074075,60.0,14.719848053181384
AVGO,Information Technology,Semiconductors,344.97,70.7255,25.6014,46.63,23.87,31.47,39.97,0.7481465408122673,,50.4383,0.0030323450134770447,0.9464285714285714,2,20.075757575757567,81.06835158305748,90.40959040959041,58.102061337355465,62.17008797653959,62.36516977646011,99.70862470862471,2.666666666666667,60.8918414918415,60.0,20.075757575757567
IBKR,Financials,Investment Banking & Brokerage,70.47,130.3426,11.813,27.01,11.96,19.6,44.58,0.9289415247964472,,47.6739,0.125,0.9375,2,4.56123737373737,68.85129741556575,80.60533216783216,67.67859431882275,91.7988578680203,62.69906382879567,100.0,2.666666666666667,61.06666666666667,60.0,4.56123737373737
PLMR,Financials,Property & Casualty Insurance,128.69,19.3922,4.4485,55.94,52.27,21.68,28.38,0.39093374660984115,,21.5547,0.06043956043956045,0.8461538461538461,2,17.783094098883574,92.13655108980014,72.51564225248435,43.46761766745737,89.04621960993856,62.989824943712804,94.41786283891547,2.666666666666667,57.71738437001595,60.0,17.783094098883574
GOOG,Communication Services,Interactive Media & Services,329.14,31.9351,10.2937,26.76,13.42,35.0,32.19,0.9911192853389386,,69.4096,0.03522504892367906,0.8571428571428571,2,19.963866305329724,73.38527551942185,89.97289972899728,77.28093947606142,77.37127371273712,67.59485094850947,89.92773261065943,2.666666666666667,55.02330623306233,60.0,19.963866305329724
GOOGL,Communication Services,Interactive Media & Services,328.57,31.9351,10.2937,26.76,13.42,35.0,32.19,0.9881240147136101,,69.4096,0.03522504892367906,0.8571428571428571,2,19.963866305329724,73.38527551942185,89.97289972899728,75.07678410117434,77.37127371273712,67.15401987353206,89.92773261065943,2.666666666666667,55.02330623306233,60.0,19.963866305329724
CHDN,Consumer Discretionary,Casinos & Gaming,108.24,18.7096,2.6168,27.57,7.97,38.129999999999995,23.82,0.496222489871893,,-16.1385,0.0029239766081871066,0.9473684210526315,2,48.087248322147644,75.31127966853315,82.3093899268396,38.007981135497914,59.37360178970918,60.617900168545496,95.7718120805369,2.666666666666667,58.52975391498881,59.99145629247849,38.007981135497914
CENX,Materials,Aluminum,45.69,50.1741,1.6889,,20.15,11.78,6.65,0.9986232216613125,,136.3683,0.025000000000000022,0.9,2,29.850746268656714,71.75535366645036,48.92926670992861,79.22128487994809,69.30171277997366,59.811672860991486,98.70214146658014,2.666666666666667,60.28795154661476,59.95455646667847,29.850746268656714
SLB,Energy,Oil & Gas Equipment & Services,45.2,18.5255,1.9157,,-2.08,16.84,13.97,0.997169143665959,,16.4648,0.038123167155425186,0.9090909090909091,2,39.11845730027548,44.146005509641874,69.00826446280992,74.7107438016529,79.61432506887051,61.319559228650135,92.56198347107438,2.666666666666667,56.6038567493113,59.90484848484848,39.11845730027548
STT,Financials,Asset Management & Custody Banks,132.57,12.4173,1.80473,8.18,181.1518,11.15,24.96261,0.9660523763336567,,35.6492,0.022727272727272707,0.7727272727272727,2,79.73152578415736,77.82926464564218,39.87547540179119,72.55148330756133,65.10820197702378,67.01919022323517,69.45773524720893,2.666666666666667,42.74130781499203,59.735825500762225,39.87547540179119
KEX,Industrials,Marine Transportation,125.47,22.2546,2.0517,15.64,1.59,9.1,12.57,0.968391107364872,,19.4497,0.12222222222222223,0.9,2,56.493506493506494,47.95636188675668,42.640692640692635,63.42384887839433,91.55844155844154,60.414570291558334,95.02164502164501,2.666666666666667,58.079653679653674,59.71409530798694,42.640692640692635
